DATE,CP0960PLM086NEST
2010-01-01,83.0
2010-02-01,83.3
2010-03-01,82.9
2010-04-01,83.5
2010-05-01,83.9
2010-06-01,87.5
2010-07-01,90.7
2010-08-01,91.1
2010-09-01,88.0
2010-10-01,85.8
2010-11-01,84.6
2010-12-01,84.5
2011-01-01,86.0
2011-02-01,86.3
2011-03-01,85.9
2011-04-01,86.3
2011-05-01,87.2
2011-06-01,89.6
2011-07-01,93.3
2011-08-01,93.8
2011-09-01,90.4
2011-10-01,88.3
2011-11-01,87.4
2011-12-01,86.6
2012-01-01,87.3
2012-02-01,87.4
2012-03-01,87.8
2012-04-01,88.3
2012-05-01,90.6
2012-06-01,93.3
2012-07-01,98.7
2012-08-01,98.9
2012-09-01,95.4
2012-10-01,93.3
2012-11-01,92.3
2012-12-01,92.7
2013-01-01,93.5
2013-02-01,94.4
2013-03-01,93.9
2013-04-01,95.9
2013-05-01,96.2
2013-06-01,97.7
2013-07-01,102.9
2013-08-01,102.6
2013-09-01,100.5
2013-10-01,98.5
2013-11-01,96.6
2013-12-01,96.5
2014-01-01,95.7
2014-02-01,96.0
2014-03-01,96.3
2014-04-01,97.7
2014-05-01,95.2
2014-06-01,97.5
2014-07-01,103.0
2014-08-01,103.8
2014-09-01,100.0
2014-10-01,98.5
2014-11-01,98.7
2014-12-01,98.0
2015-01-01,98.5
2015-02-01,98.7
2015-03-01,98.8
2015-04-01,99.1
2015-05-01,97.3
2015-06-01,99.6
2015-07-01,103.5
2015-08-01,105.0
2015-09-01,101.5
2015-10-01,99.9
2015-11-01,99.5
2015-12-01,98.6
2016-01-01,99.3
2016-02-01,101.3
2016-03-01,101.0
2016-04-01,101.9
2016-05-01,99.9
2016-06-01,102.2
2016-07-01,107.6
2016-08-01,108.8
2016-09-01,105.3
2016-10-01,103.8
2016-11-01,104.3
2016-12-01,104.6
2017-01-01,104.8
2017-02-01,106.1
2017-03-01,105.8
2017-04-01,107.0
2017-05-01,104.5
2017-06-01,108.7
2017-07-01,113.7
2017-08-01,113.6
2017-09-01,109.4
2017-10-01,106.2
2017-11-01,106.5
2017-12-01,108.0
2018-01-01,108.3
2018-02-01,109.0
2018-03-01,107.3
2018-04-01,108.6
2018-05-01,105.8
2018-06-01,108.9
2018-07-01,114.7
2018-08-01,115.1
2018-09-01,110.7
2018-10-01,108.5
2018-11-01,106.9
2018-12-01,108.2
2019-01-01,111.4
2019-02-01,111.2
2019-03-01,110.9
2019-04-01,113.3
2019-05-01,111.1
2019-06-01,117.1
2019-07-01,122.3
2019-08-01,122.8
2019-09-01,117.6
2019-10-01,115.3
2019-11-01,116.0
2019-12-01,117.4
2020-01-01,121.2
2020-02-01,121.4
2020-03-01,116.2
2020-04-01,118.8
2020-05-01,115.7
2020-06-01,123.9
2020-07-01,123.8
2020-08-01,122.6
2020-09-01,120.2
2020-10-01,116.1
2020-11-01,116.6
2020-12-01,118.1
2021-01-01,116.9
