DATE,CUSR0000SAF113
1990-01-01,149.000
1990-02-01,154.200
1990-03-01,151.500
1990-04-01,145.600
1990-05-01,144.700
1990-06-01,146.900
1990-07-01,149.900
1990-08-01,149.000
1990-09-01,148.800
1990-10-01,149.100
1990-11-01,150.300
1990-12-01,148.300
1991-01-01,151.700
1991-02-01,151.900
1991-03-01,153.200
1991-04-01,158.400
1991-05-01,160.400
1991-06-01,167.500
1991-07-01,158.700
1991-08-01,152.600
1991-09-01,153.500
1991-10-01,150.700
1991-11-01,154.700
1991-12-01,154.500
1992-01-01,149.600
1992-02-01,154.300
1992-03-01,158.000
1992-04-01,156.900
1992-05-01,153.100
1992-06-01,153.300
1992-07-01,151.100
1992-08-01,157.300
1992-09-01,159.500
1992-10-01,158.400
1992-11-01,156.700
1992-12-01,155.800
1993-01-01,156.200
1993-02-01,157.800
1993-03-01,155.000
1993-04-01,156.200
1993-05-01,163.100
1993-06-01,156.200
1993-07-01,153.600
1993-08-01,157.600
1993-09-01,159.800
1993-10-01,162.200
1993-11-01,162.500
1993-12-01,165.800
1994-01-01,164.200
1994-02-01,160.900
1994-03-01,160.400
1994-04-01,158.800
1994-05-01,161.700
1994-06-01,163.700
1994-07-01,166.800
1994-08-01,166.300
1994-09-01,165.700
1994-10-01,165.900
1994-11-01,167.500
1994-12-01,178.400
1995-01-01,174.400
1995-02-01,176.800
1995-03-01,172.100
1995-04-01,180.700
1995-05-01,179.900
1995-06-01,180.300
1995-07-01,179.000
1995-08-01,176.800
1995-09-01,179.700
1995-10-01,178.900
1995-11-01,176.800
1995-12-01,176.600
1996-01-01,176.200
1996-02-01,178.600
1996-03-01,182.500
1996-04-01,186.100
1996-05-01,182.600
1996-06-01,185.600
1996-07-01,185.200
1996-08-01,184.500
1996-09-01,184.500
1996-10-01,186.100
1996-11-01,187.800
1996-12-01,186.100
1997-01-01,182.000
1997-02-01,188.400
1997-03-01,188.600
1997-04-01,185.200
1997-05-01,184.700
1997-06-01,185.500
1997-07-01,185.600
1997-08-01,189.500
1997-09-01,189.400
1997-10-01,189.300
1997-11-01,190.700
1997-12-01,190.800
1998-01-01,197.300
1998-02-01,195.300
1998-03-01,195.700
1998-04-01,196.000
1998-05-01,201.500
1998-06-01,198.300
1998-07-01,199.700
1998-08-01,198.000
1998-09-01,195.500
1998-10-01,200.400
1998-11-01,200.100
1998-12-01,200.200
1999-01-01,202.900
1999-02-01,201.600
1999-03-01,199.600
1999-04-01,202.500
1999-05-01,204.900
1999-06-01,203.500
1999-07-01,203.900
1999-08-01,204.500
1999-09-01,205.000
1999-10-01,203.300
1999-11-01,202.500
1999-12-01,203.300
2000-01-01,202.200
2000-02-01,203.400
2000-03-01,201.800
2000-04-01,201.400
2000-05-01,201.900
2000-06-01,200.400
2000-07-01,203.100
2000-08-01,205.300
2000-09-01,206.600
2000-10-01,207.400
2000-11-01,208.800
2000-12-01,213.200
2001-01-01,206.200
2001-02-01,211.600
2001-03-01,211.900
2001-04-01,213.800
2001-05-01,210.800
2001-06-01,212.400
2001-07-01,212.800
2001-08-01,211.800
2001-09-01,214.000
2001-10-01,214.500
2001-11-01,214.000
2001-12-01,211.800
2002-01-01,218.400
2002-02-01,222.600
2002-03-01,225.700
2002-04-01,224.800
2002-05-01,219.600
2002-06-01,218.400
2002-07-01,219.700
2002-08-01,220.400
2002-09-01,220.600
2002-10-01,218.000
2002-11-01,220.500
2002-12-01,221.600
2003-01-01,221.500
2003-02-01,220.800
2003-03-01,222.700
2003-04-01,221.700
2003-05-01,224.700
2003-06-01,229.500
2003-07-01,230.000
2003-08-01,230.000
2003-09-01,227.800
2003-10-01,226.800
2003-11-01,227.900
2003-12-01,227.500
2004-01-01,225.900
2004-02-01,227.000
2004-03-01,229.900
2004-04-01,229.100
2004-05-01,230.000
2004-06-01,229.000
2004-07-01,228.100
2004-08-01,229.400
2004-09-01,229.200
2004-10-01,239.800
2004-11-01,248.300
2004-12-01,245.900
2005-01-01,236.500
2005-02-01,232.600
2005-03-01,234.200
2005-04-01,241.800
2005-05-01,243.500
2005-06-01,241.300
2005-07-01,244.300
2005-08-01,242.100
2005-09-01,243.800
2005-10-01,244.400
2005-11-01,245.300
2005-12-01,247.100
2006-01-01,251.200
2006-02-01,250.800
2006-03-01,249.500
2006-04-01,248.500
2006-05-01,246.800
2006-06-01,251.000
2006-07-01,253.100
2006-08-01,255.000
2006-09-01,261.300
2006-10-01,260.400
2006-11-01,255.700
2006-12-01,252.900
2007-01-01,256.990
2007-02-01,265.517
2007-03-01,264.641
2007-04-01,263.172
2007-05-01,263.063
2007-06-01,260.913
2007-07-01,258.380
2007-08-01,258.128
2007-09-01,261.540
2007-10-01,263.037
2007-11-01,267.675
2007-12-01,269.137
2008-01-01,272.066
2008-02-01,269.553
2008-03-01,268.353
2008-04-01,273.198
2008-05-01,275.225
2008-06-01,279.960
2008-07-01,284.054
2008-08-01,288.372
2008-09-01,288.520
2008-10-01,286.004
2008-11-01,284.017
2008-12-01,278.991
2009-01-01,276.483
2009-02-01,275.922
2009-03-01,274.206
2009-04-01,274.545
2009-05-01,272.981
2009-06-01,273.964
2009-07-01,274.233
2009-08-01,271.077
2009-09-01,269.688
2009-10-01,270.078
2009-11-01,270.706
2009-12-01,271.568
2010-01-01,274.554
2010-02-01,272.594
2010-03-01,280.105
2010-04-01,279.306
2010-05-01,276.494
2010-06-01,272.786
2010-07-01,268.648
2010-08-01,269.223
2010-09-01,270.445
2010-10-01,270.542
2010-11-01,270.916
2010-12-01,275.875
2011-01-01,280.232
2011-02-01,283.983
2011-03-01,289.457
2011-04-01,286.337
2011-05-01,283.191
2011-06-01,281.644
2011-07-01,284.777
2011-08-01,285.681
2011-09-01,288.628
2011-10-01,284.568
2011-11-01,284.110
2011-12-01,282.980
2012-01-01,280.303
2012-02-01,277.808
2012-03-01,277.961
2012-04-01,281.160
2012-05-01,281.860
2012-06-01,284.674
2012-07-01,283.215
2012-08-01,283.917
2012-09-01,283.624
2012-10-01,284.328
2012-11-01,286.073
2012-12-01,288.037
2013-01-01,289.361
2013-02-01,290.774
2013-03-01,290.935
2013-04-01,287.813
2013-05-01,288.081
2013-06-01,288.220
2013-07-01,290.763
2013-08-01,293.453
2013-09-01,291.392
2013-10-01,291.084
2013-11-01,290.139
2013-12-01,287.892
2014-01-01,287.882
2014-02-01,290.506
2014-03-01,293.868
2014-04-01,295.224
2014-05-01,297.194
2014-06-01,297.266
2014-07-01,296.385
2014-08-01,293.187
2014-09-01,293.539
2014-10-01,295.908
2014-11-01,294.377
2014-12-01,297.327
2015-01-01,294.572
2015-02-01,293.390
2015-03-01,290.546
2015-04-01,290.678
2015-05-01,291.728
2015-06-01,290.674
2015-07-01,290.621
2015-08-01,293.836
2015-09-01,295.811
2015-10-01,296.020
2015-11-01,298.402
2015-12-01,299.334
2016-01-01,302.600
2016-02-01,304.649
2016-03-01,299.141
2016-04-01,296.946
2016-05-01,294.891
2016-06-01,294.849
2016-07-01,294.509
2016-08-01,294.186
2016-09-01,293.742
2016-10-01,293.669
2016-11-01,293.819
2016-12-01,292.151
2017-01-01,287.881
2017-02-01,290.553
2017-03-01,293.890
2017-04-01,298.552
2017-05-01,297.492
2017-06-01,296.865
2017-07-01,297.110
2017-08-01,296.716
2017-09-01,297.542
2017-10-01,297.822
2017-11-01,297.323
2017-12-01,296.783
2018-01-01,298.094
2018-02-01,297.126
2018-03-01,294.771
2018-04-01,296.825
2018-05-01,296.211
2018-06-01,297.492
2018-07-01,299.352
2018-08-01,299.010
2018-09-01,299.140
2018-10-01,296.802
2018-11-01,297.269
2018-12-01,301.647
2019-01-01,301.094
2019-02-01,303.386
2019-03-01,306.275
2019-04-01,303.169
2019-05-01,301.309
2019-06-01,300.335
2019-07-01,300.582
2019-08-01,299.677
2019-09-01,298.275
2019-10-01,299.766
2019-11-01,298.768
2019-12-01,297.830
2020-01-01,298.371
2020-02-01,298.631
2020-03-01,300.420
2020-04-01,304.291
2020-05-01,305.654
2020-06-01,306.949
2020-07-01,307.110
2020-08-01,307.684
2020-09-01,307.428
2020-10-01,307.657
2020-11-01,307.898
2020-12-01,307.346
2021-01-01,306.606
